代碼,商品,股本,產業,產業地位
2305,全友,20.57,"上市電子全部,上市電腦及週邊設備",台灣掃瞄器之影像處理器廠
2308,台達電,259.75,"上市電子全部,上市電子零組件",全球第一大電源供應器製造廠
2312,金寶,146.91,"上市電子全部,上市其他電子",金仁寶集團旗下消費性電子代工廠
2313,華通,119.18,"上市電子全部,上市電子零組件",台灣第二大手機板及HDI板製造商
2314,台揚,22.80,"上市電子全部,上市通信網路",鴻海轉投資衛星、微波通訊設備製造商
2316,楠梓電,18.27,"上市電子全部,上市電子零組件",國內PCB廠商，並轉投資於深交所掛牌之滬電股份
2317,鴻海,1386.30,"上市電子全部,上市其他電子",全球最大EMS電子專業代工廠
2321,東訊,4.46,"上市電子全部,上市通信網路",東元集團轉投資通訊設備製造商及手機通路商
2323,中環,115.89,"上市電子全部,上市光電",全球前三大光碟片製造商之一
2324,仁寶,440.71,"上市電子全部,上市電腦及週邊設備",全球第二大NB代工廠
2327,國巨,49.89,"上市電子全部,上市電子零組件",全球被動元件供應商，亦為全球晶片電阻大廠
2328,廣宇,51.83,"上市電子全部,上市電子零組件",鴻海旗下電子零件代工、PCB及連接器廠
2329,華泰,65.01,"上市電子全部,上市半導體",與金士頓合作之NAND Flash、記憶卡封測廠
2330,台積電,2593.04,"上市電子全部,上市半導體",全球第一大晶圓代工廠
2331,精英,55.74,"上市電子全部,上市電腦及週邊設備",屬大同集團之台灣前四大主機板廠
2332,友訊,65.20,"上市電子全部,上市通信網路",以D-Link品牌行銷網通設備之全球領導廠商
2337,旺宏,185.61,"上市電子全部,上市半導體",全球非揮發性記憶體整合元件領導廠
2338,光罩,25.27,"上市電子全部,上市半導體",台灣專業光罩廠商
2340,光磊,37.86,"上市電子全部,上市光電",經日亞化授權的LED晶粒廠
2342,茂矽,15.62,"上市電子全部,上市半導體",轉型專注晶圓代工事業
2344,華邦電,398.00,"上市電子全部,上市半導體",台灣利基型DRAM廠
2345,智邦,55.98,"上市電子全部,上市通信網路",以網路交換器為主產品的網通設備代工大廠
2347,聯強,166.79,"上市電子全部,上市電子通路",亞太最大、全球前三大3C專業通路商
